"tree1","tree2","pearson_r","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"12ac2_2","12ac2_1",0.769191906463758,"sp","AC","San Jac","low",2,14,0.211538461538462,0.026134966202552,"sp",2,"AC",0.0630355376829612
"12ac2_12","12ac2_1",0.561911861512338,"sp","AC","San Jac","low",2,17.9,0.132075471698113,0.0484573672976015,"sp",2,"AC",19.5782148265804
"12pl2_1","12ac2_1",0.40600476052457,"sp","PL","San Jac","low",2,8.9,0.106382978723404,0.110779328667192,"sp",2,"AC",2.96537140683748
"12pl2_2","12ac2_1",0.292297367323775,"sp","PL","San Jac","low",2,51.5,0.162162162162162,0.138638714256164,"sp",2,"AC",9.45294790788465
"12pl2_3","12ac2_1",0.0977683090040974,"sp","PL","San Jac","low",2,37.8,0.117647058823529,0.149895242957752,"sp",2,"AC",11.4940214191342
"12pp2_1","12ac2_1",0.298293997220653,"sp","PP","San Jac","low",2,95.2,0.387096774193548,0.779236609907978,"sp",2,"AC",11.5436193278342
"12pp2_2","12ac2_1",0.0385936148574001,"sp","PP","San Jac","low",2,47.1,0.382352941176471,0.689055400840091,"sp",2,"AC",12.8216515184497
"12pp2_7","12ac2_1",-0.0300610140361429,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"AC",21.6042902234663
"12pp2_8","12ac2_1",0.207461345993011,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"AC",17.3364442618808
"12pp2_21","12ac2_1",-0.0258351522940003,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"AC",11.5283713315755
"12ac2_12","12ac2_2",0.599442456494071,"sp","AC","San Jac","low",2,17.9,0.132075471698113,0.0484573672976015,"sp",2,"AC",19.5172810749962
"12pl2_1","12ac2_2",0.332649475355039,"sp","PL","San Jac","low",2,8.9,0.106382978723404,0.110779328667192,"sp",2,"AC",3.02678492936995
"12pl2_2","12ac2_2",0.171311639557473,"sp","PL","San Jac","low",2,51.5,0.162162162162162,0.138638714256164,"sp",2,"AC",9.4776920140468
"12pl2_3","12ac2_2",-0.191697188291992,"sp","PL","San Jac","low",2,37.8,0.117647058823529,0.149895242957752,"sp",2,"AC",11.4723929752578
"12pp2_1","12ac2_2",0.124664850443674,"sp","PP","San Jac","low",2,95.2,0.387096774193548,0.779236609907978,"sp",2,"AC",11.6038063219826
"12pp2_2","12ac2_2",0.179369579744503,"sp","PP","San Jac","low",2,47.1,0.382352941176471,0.689055400840091,"sp",2,"AC",12.8277365535582
"12pp2_7","12ac2_2",-0.16747382715447,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"AC",21.6401024259959
"12pp2_8","12ac2_2",0.078354140635637,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"AC",17.367694387882
"12pp2_21","12ac2_2",0.00416508710262093,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"AC",11.5039985051235
"12pl2_1","12ac2_12",0.406874741229883,"sp","PL","San Jac","low",2,8.9,0.106382978723404,0.110779328667192,"sp",2,"AC",22.5425169325404
"12pl2_2","12ac2_12",0.519349280570571,"sp","PL","San Jac","low",2,51.5,0.162162162162162,0.138638714256164,"sp",2,"AC",22.9122072035649
"12pl2_3","12ac2_12",-0.164105789349498,"sp","PL","San Jac","low",2,37.8,0.117647058823529,0.149895242957752,"sp",2,"AC",16.0340931277084
"12pp2_1","12ac2_12",0.377761905922498,"sp","PP","San Jac","low",2,95.2,0.387096774193548,0.779236609907978,"sp",2,"AC",31.1147925168462
"12pp2_2","12ac2_12",0.362407095527774,"sp","PP","San Jac","low",2,47.1,0.382352941176471,0.689055400840091,"sp",2,"AC",21.5773203357279
"12pp2_7","12ac2_12",-0.277388995888604,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"AC",33.700680878758
"12pp2_8","12ac2_12",0.278474010861862,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"AC",29.2820928697358
"12pp2_21","12ac2_12",0.00465070195069971,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"AC",15.4962101555182
"12pj1_2","12pj1_1",0.708413922098858,"sp","PJ","San Jac","low",1,42.7,0.166666666666667,0.227399085838924,"sp",1,"PJ",14.1020287275279
"12pl1_1","12pj1_1",0.397018737285277,"sp","PL","San Jac","low",1,8.7,0.238095238095238,0.0549292490796136,"sp",1,"PJ",29.4981865112181
"12pl1_2","12pj1_1",0.694338053397534,"sp","PL","San Jac","low",1,8.3,0.227272727272727,0.0505524337940372,"sp",1,"PJ",29.600783147453
"12pl1_3","12pj1_1",0.583867245303591,"sp","PL","San Jac","low",1,31.5,0.227272727272727,0.0505524337940372,"sp",1,"PJ",28.9754630480935
"12pl1_4","12pj1_1",0.508575298360673,"sp","PL","San Jac","low",1,7.8,0.363636363636364,0.0100494688898317,"sp",1,"PJ",29.1741489646744
"12pp1_1","12pj1_1",0.263499112178173,"sp","PP","San Jac","low",1,108.6,0.136363636363636,0.680887351773968,"sp",1,"PJ",33.661379542124
"12pp1_2","12pj1_1",0.727421909088517,"sp","PP","San Jac","low",1,50.5,0.333333333333333,0.627950455431155,"sp",1,"PJ",15.8684910702037
"12pp1_3","12pj1_1",0.685213284611089,"sp","PP","San Jac","low",1,70.6,0.555555555555556,0.461042634445738,"sp",1,"PJ",17.0929610303445
